Date,AAPL,AMZN,GOOG,META,MSFT,NIO,NVDA,RIVN,TSLA
2024-03-08,169.7050934,175.3500061,135.4846497,503.7233582,402.4033813,5.800000191,87.49317932,12.77999973,175.3399963
2024-03-11,171.7129517,171.9600067,138.1190186,481.4617615,400.7193604,6.099999905,85.73987579,12.68999958,177.7700043
2024-03-12,172.1900635,175.3899994,138.7949677,497.5506592,411.3782654,6.190000057,91.87643433,12.36999989,177.5399933
2024-03-13,170.1026764,176.5599976,139.9381866,493.3890686,411.1999817,5.920000076,90.85182953,11.71000004,169.4799957
2024-03-14,171.961441,178.75,143.4870758,489.6654663,421.2249146,5.579999924,87.90900421,10.68999958,162.5
2024-03-15,171.5837402,174.4199982,141.3299103,481.9695435,412.5075989,5.579999924,87.80204773,11.03999996,163.5700073
2024-03-18,172.6771393,174.4799957,147.6026459,494.7928467,413.3991089,5.539999962,88.4197998,11.39999962,173.8000031
2024-03-19,175.0229645,175.8999939,147.0459442,494.0560608,417.4506836,5.190000057,89.36243439,11.26000023,171.3200073
2024-03-20,177.5974121,178.1499939,148.7955322,503.2952576,421.2348022,5.099999905,90.33604431,11.35999966,175.6600037
2024-03-21,170.3412476,178.1499939,147.861084,505.5254211,425.3358765,5,91.39861298,11.17000008,172.8200073
2024-03-22,171.2457886,178.8699951,150.8731842,507.3373718,424.7118225,4.889999866,94.2514801,10.80000019,170.8300018
2024-03-25,169.8243713,179.7100067,150.2568512,500.8062439,418.8870544,4.909999847,94.96419525,10.64999962,172.6300049
2024-03-26,168.6912231,178.3000031,150.8035889,493.7076416,417.688446,4.78000021,92.52416229,10.52000046,177.6699982
2024-03-27,172.2695923,179.8300018,151.0422058,491.6865234,417.4704895,4.670000076,90.21408844,10.98999977,179.8300018
2024-03-28,170.4505768,180.3800049,151.3603058,483.4430237,416.7671509,4.5,90.32004547,10.94999981,175.7899933
2024-04-01,169.0092773,180.9700012,155.5752411,489.1876221,420.5809631,4.639999866,90.32704163,11.09000015,175.2200012
2024-04-02,167.826416,180.6900024,154.9489594,495.1811218,417.4804077,4.539999962,89.41640472,10.51000023,166.6300049
2024-04-03,168.6315613,182.4100037,155.4459991,504.5098572,416.4996948,4.489999771,88.92860413,10.53999996,168.3800049
2024-04-04,167.8065643,180,151.0422058,508.6715088,413.9538574,4.5,85.87081146,10.13000011,171.1100006
2024-04-05,168.5619812,185.0700073,153.030365,525.0192261,421.5220337,4.389999866,87.97297668,10.10000038,164.8999939
2024-04-08,167.4387817,185.1900024,155.2173615,516.9647827,420.6007996,4.369999886,87.09832764,10.43999958,172.9799957
2024-04-09,168.6514435,185.6699982,157.2055359,514.6252441,422.2749329,4.710000038,85.32002258,10.63000011,176.8800049
2024-04-10,166.7727966,185.9499969,156.7283783,517.5422974,419.2833252,4.590000153,87.00436401,10.27000046,171.7599945
2024-04-11,173.989212,189.0500031,159.8398895,520.857605,423.9094238,4.460000038,90.57994843,9.569999695,174.6000061
2024-04-12,175.4901581,186.1300049,158.2493439,509.6471558,417.9361267,4.110000134,88.15090942,9.130000114,171.0500031
2024-04-15,171.6533203,183.6199951,155.40625,498.0285645,409.7536926,3.890000105,85.96678162,8.399999619,161.4799957
2024-04-16,168.3631897,183.3200073,155.078186,497.5606079,410.684845,3.809999943,87.38021851,8.710000038,157.1100006
2024-04-17,166.9914703,181.2799988,155.9530029,491.9952087,407.9706116,3.910000086,84.0015564,8.739999771,155.4499969
